modelo,fpr,tpr,umbral
Naive Bayes complementario,0.11967779056386652,0.7232415902140673,0.5210832468789628
Naive Bayes complementario,0.12313003452243959,0.7232415902140673,0.5174640412853849
Naive Bayes complementario,0.12313003452243959,0.7247706422018348,0.515969815856422
Naive Bayes complementario,0.12428078250863062,0.7247706422018348,0.5153795793049867
Naive Bayes complementario,0.12428078250863062,0.7293577981651376,0.5115789794963027
Naive Bayes complementario,0.12543153049482164,0.7293577981651376,0.511311298055631
Naive Bayes complementario,0.12543153049482164,0.7308868501529052,0.5067452263697164
Naive Bayes complementario,0.12888377445339472,0.7308868501529052,0.5047550910127618
Naive Bayes complementario,0.12888377445339472,0.7324159021406728,0.5032073192594311
Naive Bayes complementario,0.1380897583429229,0.7339449541284404,0.5
Naive Bayes complementario,0.13924050632911392,0.7339449541284404,0.4977372101211123
Naive Bayes complementario,0.13924050632911392,0.735474006116208,0.4957942070774787
Naive Bayes complementario,0.14844649021864212,0.735474006116208,0.4897167797880787
Naive Bayes complementario,0.14844649021864212,0.7370030581039755,0.489181228155194
Naive Bayes complementario,0.14959723820483314,0.7370030581039755,0.4887060422379341
Naive Bayes complementario,0.14959723820483314,0.7385321100917431,0.48868333069710734
Naive Bayes complementario,0.1518987341772152,0.7385321100917431,0.4877452084626252
Naive Bayes complementario,0.1518987341772152,0.7415902140672783,0.4851645802125608
Naive Bayes complementario,0.15420023014959724,0.7415902140672783,0.4839155734798568
Naive Bayes complementario,0.15420023014959724,0.7477064220183486,0.4816780459837786
Naive Bayes complementario,0.15535097813578827,0.7477064220183486,0.4811486301113398
Naive Bayes complementario,0.15535097813578827,0.7492354740061162,0.4803445060128226
Naive Bayes complementario,0.15880322209436135,0.7492354740061162,0.4793112133548476
Naive Bayes complementario,0.15880322209436135,0.7507645259938838,0.47902133415022774
Naive Bayes complementario,0.15995397008055237,0.7507645259938838,0.47811251713340075
Naive Bayes complementario,0.15995397008055237,0.7675840978593272,0.4602273513222822
Naive Bayes complementario,0.16800920598388952,0.7675840978593272,0.4549245031367544
Naive Bayes complementario,0.16800920598388952,0.7706422018348624,0.4511965614490652
Naive Bayes complementario,0.17376294591484465,0.7706422018348624,0.44680344052532084
Naive Bayes complementario,0.17376294591484465,0.77217125382263,0.4467637078200476
Naive Bayes complementario,0.1760644418872267,0.77217125382263,0.4457329409001355
Naive Bayes complementario,0.17721518987341772,0.77217125382263,0.44102375539997946
Naive Bayes complementario,0.17721518987341772,0.7813455657492355,0.4378538776668938
Naive Bayes complementario,0.18757192174913695,0.7813455657492355,0.429211081129242
Naive Bayes complementario,0.18757192174913695,0.7828746177370031,0.4261143392430635
Naive Bayes complementario,0.18872266973532797,0.7828746177370031,0.4256213149418637
Naive Bayes complementario,0.18872266973532797,0.7844036697247706,0.42519953341058514
Naive Bayes complementario,0.19102416570771003,0.7844036697247706,0.4227676772271872
Naive Bayes complementario,0.19332566168009205,0.7844036697247706,0.42162102602686313
Naive Bayes complementario,0.19907940161104717,0.7844036697247706,0.41500498872441466
Naive Bayes complementario,0.19907940161104717,0.7859327217125383,0.4146179497919703
Naive Bayes complementario,0.20253164556962025,0.7859327217125383,0.4129752994550297
Naive Bayes complementario,0.20253164556962025,0.7889908256880734,0.41081302629429733
Naive Bayes complementario,0.20368239355581128,0.7889908256880734,0.4107741871605837
Naive Bayes complementario,0.20368239355581128,0.790519877675841,0.40943737466153135
Naive Bayes complementario,0.20713463751438435,0.790519877675841,0.40629842700845176
Naive Bayes complementario,0.20713463751438435,0.7920489296636085,0.4062403772796541
Naive Bayes complementario,0.2094361334867664,0.7920489296636085,0.40420250157330406
Naive Bayes complementario,0.2094361334867664,0.7935779816513762,0.4041098961135112
Naive Bayes complementario,0.21058688147295743,0.7935779816513762,0.4039096244826578
Naive Bayes complementario,0.21058688147295743,0.7951070336391437,0.4036735462928942
Naive Bayes complementario,0.21173762945914845,0.7951070336391437,0.40352529790942726
Naive Bayes complementario,0.21173762945914845,0.7966360856269113,0.4033728480068123
Naive Bayes complementario,0.21288837744533948,0.7966360856269113,0.40191654645942076
Naive Bayes complementario,0.21288837744533948,0.7981651376146789,0.40176895138997
Naive Bayes complementario,0.22209436133486765,0.7981651376146789,0.3930318453664367
Naive Bayes complementario,0.22209436133486765,0.7996941896024465,0.3930055847395636
Naive Bayes complementario,0.2243958573072497,0.7996941896024465,0.3905825229133752
Naive Bayes complementario,0.2243958573072497,0.8027522935779816,0.3893633885361531
Naive Bayes complementario,0.23705408515535098,0.8027522935779816,0.3807104735927569
Naive Bayes complementario,0.23705408515535098,0.8058103975535168,0.38008934196311756
Naive Bayes complementario,0.24626006904487918,0.8058103975535168,0.37465249039752957
Naive Bayes complementario,0.24626006904487918,0.8073394495412844,0.3746279692051723
Naive Bayes complementario,0.2474108170310702,0.8073394495412844,0.37388513023762787
Naive Bayes complementario,0.2474108170310702,0.808868501529052,0.3733647037203621
Naive Bayes complementario,0.2520138089758343,0.808868501529052,0.3713432364193808
Naive Bayes complementario,0.2520138089758343,0.8103975535168195,0.3708909458003986
Naive Bayes complementario,0.2554660529344074,0.8103975535168195,0.368699876835329
Naive Bayes complementario,0.2554660529344074,0.8119266055045872,0.3686158003812445
Naive Bayes complementario,0.2600690448791715,0.8119266055045872,0.36727198706809866
Naive Bayes complementario,0.2600690448791715,0.8134556574923547,0.3669636535272052
Naive Bayes complementario,0.26352128883774456,0.8134556574923547,0.36557556844192196
Naive Bayes complementario,0.26352128883774456,0.8149847094801224,0.3654118809597872
Naive Bayes complementario,0.26927502876869963,0.8149847094801224,0.36277372777830896
Naive Bayes complementario,0.26927502876869963,0.8165137614678899,0.3609112914839672
Naive Bayes complementario,0.2715765247410817,0.8165137614678899,0.35818255827098566
Naive Bayes complementario,0.2715765247410817,0.8195718654434251,0.3567319527177221
Naive Bayes complementario,0.2727272727272727,0.8195718654434251,0.3564896943191991
Naive Bayes complementario,0.2727272727272727,0.8211009174311926,0.35627394640537624
Naive Bayes complementario,0.28308400460299193,0.8211009174311926,0.3495918854354411
Naive Bayes complementario,0.28308400460299193,0.8241590214067278,0.34931582299124836
Naive Bayes complementario,0.28423475258918296,0.8241590214067278,0.3489919971857456
Naive Bayes complementario,0.28423475258918296,0.8256880733944955,0.34867239139258666
Naive Bayes complementario,0.29344073647871116,0.8256880733944955,0.34055357381548373
Naive Bayes complementario,0.29344073647871116,0.827217125382263,0.3401212754456473
Naive Bayes complementario,0.29689298043728424,0.827217125382263,0.3385520486884016
Naive Bayes complementario,0.29689298043728424,0.8287461773700305,0.33780608213793073
Naive Bayes complementario,0.29804372842347526,0.8287461773700305,0.33756226195976985
Naive Bayes complementario,0.29804372842347526,0.8333333333333334,0.33558603384545505
Naive Bayes complementario,0.3003452243958573,0.8348623853211009,0.335108055907626
Naive Bayes complementario,0.3084004602991945,0.8348623853211009,0.3324104745125414
Naive Bayes complementario,0.3084004602991945,0.8363914373088684,0.3324030514323949
Naive Bayes complementario,0.3141542002301496,0.8363914373088684,0.32896309510400634
Naive Bayes complementario,0.3141542002301496,0.8379204892966361,0.3286298606079189
Naive Bayes complementario,0.32105868814729577,0.8379204892966361,0.32179445355547065
Naive Bayes complementario,0.32105868814729577,0.8409785932721713,0.32167714774430883
Naive Bayes complementario,0.3256616800920598,0.8409785932721713,0.3182136385404433
Naive Bayes complementario,0.3256616800920598,0.8425076452599388,0.31798683310343234
Naive Bayes complementario,0.33256616800920596,0.8425076452599388,0.31479907966996823
